,n_tokens,n_unique_tokens,proportion_unique_tokens,n_characters,n_sentences,token_length_mean,token_length_median,token_length_std,sentence_length_mean,sentence_length_median,sentence_length_std,dependency_distance_mean,dependency_distance_std,prop_adjacent_dependency_relation_mean,prop_adjacent_dependency_relation_std,type_token_ratio,dependency_depth_mean,dependency_depth_std,file_name,n_tokens_once_in_courpus,text_type,Number
62,923,160,0.1733477789815818,4196,167,3.8645720476706393,4.0,2.118399891340246,5.526946107784431,4.0,4.066534034897024,1.78925720217637,0.8978775997234739,0.4261586212519669,0.15079357570147445,0.1733477789815818,3.0838323353293413,1.0172946019801243,slimme_hans,13,fairy tale,9
63,939,362,0.3855165069222577,4591,39,4.729499467518637,4.0,3.0615435394991395,24.076923076923077,22.0,12.047735430116436,3.364568946232015,0.9548054803823388,0.3740261849036341,0.09168566954792119,0.3855165069222577,5.871794871794871,2.2092983824141554,sucker_punch,102,synopsis movie,66
64,1023,422,0.4125122189638319,5181,44,4.9227761485826,4.0,3.1100535925796393,23.25,23.5,14.792696293656665,3.2922770783205064,1.5083688106864148,0.3406536157913376,0.13224990299424533,0.4125122189638319,4.886363636363637,2.025024232076216,the_host,122,synopsis movie,65
65,1196,500,0.4180602006688963,5929,49,4.874581939799331,4.0,3.0151772288783856,24.408163265306122,25.0,13.55098967294277,3.4830302064024434,1.2830030663624747,0.35814634956444,0.11356503532404107,0.4180602006688963,5.530612244897959,2.1580607395920137,the_proposal,151,synopsis movie,64
66,967,429,0.4436401240951396,4746,52,4.813857290589452,4.0,3.227418457369943,18.596153846153847,18.0,10.65952014972931,3.1445609764642075,1.3066597633175487,0.3717661089130727,0.11715774907295191,0.4436401240951396,4.769230769230769,1.6596499238762628,the_rainmaker,107,synopsis legal thriller (book),70
67,946,402,0.4249471458773784,4949,60,5.133192389006343,4.0,3.5954542828388676,15.766666666666667,16.0,9.985600744182706,2.701707935729101,1.275601162994526,0.36730308057494176,0.12667264541651135,0.4249471458773784,4.2,1.7776388834631174,turf_brandstof,130,technical text,37
68,975,402,0.4123076923076923,4928,51,4.951794871794871,4.0,3.0342885549738834,19.11764705882353,18.0,11.124336611767152,3.000758491208077,1.1270073042511204,0.38428499152008705,0.08078432823927373,0.4123076923076923,4.921568627450981,1.4930313584942334,val_van_de_republiek,97,history,6
69,945,356,0.37671957671957673,4080,60,4.112169312169312,3.0,2.465016619476703,15.75,15.0,11.674223742930405,2.7533150084970273,1.4823945623323633,0.3521838775341713,0.1388097020658316,0.37671957671957673,4.25,1.9885086539079146,van_eenen_koster_en_eene_kosterin,70,fairy tale,52
70,1368,534,0.39035087719298245,7582,70,5.444444444444445,4.0,3.9955913001152727,19.542857142857144,16.0,12.512491717463465,2.9703177896946977,1.2051843754585774,0.3583674919523813,0.11815313651624135,0.39035087719298245,4.714285714285714,1.8909019551742057,vergrijzing,149,technical text,38
71,979,355,0.3626149131767109,4587,64,4.597548518896834,4.0,2.5939810342743503,15.296875,14.5,10.057148712949163,2.7583361803343056,1.342947926226516,0.3453715820635695,0.12715939007244983,0.3626149131767109,4.4375,1.8614090764794289,vijf_kleine_biggetjes,70,synopsis detective (book),62
72,993,419,0.4219536757301108,5459,67,5.357502517623364,4.0,3.6830750602642475,14.82089552238806,13.0,9.124226195993367,2.6533976999383757,1.2225681118370506,0.37839093208746205,0.1296657776525768,0.4219536757301108,4.477611940298507,1.8796491333052137,vleermuizen,124,technical text,44
73,976,284,0.29098360655737704,4142,84,4.00922131147541,3.0,2.34016012136866,11.619047619047619,11.0,8.250403686955712,2.5269118811589237,1.215541218486884,0.37581947588770415,0.13495537849377895,0.29098360655737704,3.7142857142857144,1.500566786341784,vondevogel,30,fairy tale,13
74,993,429,0.43202416918429004,5282,42,5.20845921450151,4.0,3.5812886425119497,23.642857142857142,21.0,14.091235757380117,3.243976694330233,1.2355715617207756,0.3830972405303362,0.10750895977814523,0.43202416918429004,5.261904761904762,2.0007084912900686,voorgeschiedenis_eerste_kruistocht,128,history,41
75,1020,432,0.4235294117647059,4758,56,4.556862745098039,4.0,2.8877194273275606,18.214285714285715,15.0,16.752093990341162,2.955171024146355,1.2921180660174392,0.3607906725732805,0.11737247912441677,0.4235294117647059,4.446428571428571,1.9449535695628064,vorstenschool,114,synopsis play,74
76,834,384,0.460431654676259,3911,72,4.494004796163069,4.0,2.7463666916078706,11.583333333333334,10.5,8.215415726276762,2.5395338531740785,1.4494953772720591,0.3779556030934674,0.14938429089860963,0.460431654676259,3.5972222222222223,1.4304207056183607,waarom_de_reuzen_in_limburg_zijn_uitgestorven,88,fairy tale,51
77,931,395,0.4242749731471536,4185,49,4.309344790547798,4.0,2.378499445798785,19.0,18.0,11.333533411599259,3.2588659845714347,1.3304798566141056,0.36959639308232656,0.1135958006364445,0.4242749731471536,4.775510204081633,1.7292832787195802,wonderlijke_geschiedenissen_uit_friesland,78,fairy tale,53
78,968,326,0.3367768595041322,4212,60,4.229338842975206,4.0,2.458558751203502,16.133333333333333,16.5,8.857137736813677,2.8297524979344213,1.1038519598101122,0.34592614913099057,0.1180375138333833,0.3367768595041322,4.65,1.8513508581573617,zielen,41,synopsis novelle,71
